City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
283,Svetlogorsk,BY,52.6333,29.7333,10.96,60,100,3.05,overcast clouds
284,Svetlaya,RU,46.5389,138.3297,12.94,76,100,1.4,overcast clouds
285,Turukhansk,RU,65.8167,87.9833,-2.71,95,100,1.44,overcast clouds
286,Vao,NC,-22.6667,167.4833,22.93,82,0,5.25,clear sky
287,Airai,TL,-8.9266,125.4092,14.96,74,36,1.08,scattered clouds
288,Abu Road,IN,24.4833,72.7833,24.95,71,23,1.96,few clouds
289,Valparaiso,CL,-33.0393,-71.6273,15.13,86,100,3.09,overcast clouds
290,Banda Aceh,ID,5.5577,95.3222,26.5,80,100,4.87,overcast clouds
291,Port Alfred,ZA,-33.5906,26.891,17.32,84,88,2.68,overcast clouds
292,Mayya,RU,61.7333,130.2811,0.62,97,93,1.98,overcast clouds
293,Tornio,FI,65.8481,24.1466,8.01,76,43,3.0,scattered clouds
294,Odienne,CI,9.51,-7.5692,26.59,78,90,1.2,overcast clouds
295,Te Anau,NZ,-45.4167,167.7167,10.28,92,96,0.83,overcast clouds
296,Hilo,US,19.7297,-155.09,24.6,94,100,2.68,overcast clouds
297,Ubrique,ES,36.6778,-5.446,23.21,44,100,4.6,overcast clouds
298,Livingston,GB,55.9029,-3.5226,14.2,78,75,7.72,broken clouds
299,Zaria,NG,11.1113,7.7227,29.98,53,99,2.44,overcast clouds
300,Moreno,BR,-8.1186,-35.0922,27.53,61,40,4.63,scattered clouds
301,Plettenberg Bay,ZA,-34.0527,23.3716,17.2,81,85,3.33,overcast clouds
302,Jerome,US,42.7241,-114.5186,16.91,38,0,4.63,clear sky
303,Luau,AO,-10.7073,22.2247,29.98,25,100,0.79,overcast clouds
304,Sur,OM,22.5667,59.5289,30.37,61,6,2.12,clear sky
305,Alice Springs,AU,-23.7,133.8833,23.45,21,100,3.6,overcast clouds
306,Gorgan,IR,36.8387,54.4348,22.98,88,100,2.06,overcast clouds
307,Tupiza,BO,-21.45,-65.7167,18.56,2,30,7.89,scattered clouds
308,Gambo,CF,4.6482,22.2633,25.95,77,86,0.46,light rain
309,Youkounkoun,GN,12.5333,-13.1333,28.39,81,98,1.35,moderate rain
310,Ahuimanu,US,21.4447,-157.8378,25.84,86,0,2.06,clear sky
311,Benghazi,LY,32.1167,20.0667,25.06,62,0,7.32,clear sky
312,Sitka,US,57.0531,-135.33,11.94,94,75,1.54,broken clouds
313,Kirkuk,IQ,35.4681,44.3922,28.81,22,0,2.92,clear sky
314,Bindki,IN,26.0333,80.6,26.33,84,99,2.64,overcast clouds
315,Musoma,TZ,-1.5,33.8,23.82,63,57,1.33,light rain
316,Mitu,CO,1.1983,-70.1733,33.37,45,90,0.31,overcast clouds
317,Elbeuf,FR,49.2867,1.0029,19.26,68,0,4.63,clear sky
318,Videira,BR,-27.0083,-51.1517,11.19,98,100,1.03,overcast clouds
319,Ossora,RU,59.2353,163.0719,5.73,88,100,5.28,light rain
320,Cayenne,GF,4.9333,-52.3333,33.02,55,20,3.6,few clouds
321,Harper,LR,4.375,-7.7169,24.99,86,99,4.94,moderate rain
322,Kitimat,CA,54.0524,-128.6534,12.21,28,100,1.09,light rain
323,Betul,IN,21.9153,77.8961,21.84,88,69,1.04,broken clouds
324,Pereslavl-Zalesskiy,RU,56.7393,38.8563,7.25,94,100,1.44,overcast clouds
325,Nouadhibou,MR,20.931,-17.0347,28.99,79,75,6.17,broken clouds
326,Lagoa,PT,39.05,-27.9833,21.56,68,85,11.65,overcast clouds
327,Camacha,PT,33.0833,-16.3333,21.68,56,20,6.17,few clouds
328,Ishinomaki,JP,38.4167,141.3,18.62,84,98,0.97,overcast clouds
