City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
232,Chimbote,PE,18.38,overcast clouds,-9.0853,-78.5783,Hotel Briliá
234,Parksville,CA,17.74,few clouds,49.3163,-124.3195,Oceanside Village Resort Parksville
236,Chase,CA,11.75,clear sky,50.8165,-119.6857,Chase Country Inn Motel
238,Loding,NO,14.35,clear sky,67.3,14.75,Arctic Kramer
241,Khani,GE,10.76,few clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
249,Timra,SE,13.15,few clouds,62.487,17.3257,Bergefors park
251,Kotka,FI,7.59,light rain,60.4664,26.9458,Hotelli Merikotka
252,Okha,RU,6.5,overcast clouds,53.5739,142.9478,Sakhalin-Sfera
254,Saint Anthony,US,17.66,few clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
259,Pacifica,US,17.45,mist,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
261,Monte Patria,CL,17.66,overcast clouds,-30.6919,-70.9467,Hotel Monte Cordillera
266,Eureka,US,11.34,clear sky,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
268,Storforshei,NO,13.7,scattered clouds,66.4043,14.5233,Campingplass Mo i Rana: Storli Camping
269,Mandello Del Lario,IT,19.34,overcast clouds,45.9192,9.3193,Ristorante Grigna
274,Bourg-En-Bresse,FR,18.5,overcast clouds,46.1667,5.1667,Chambres d'Hôtes Grange Carrée
278,Yeppoon,AU,17.88,clear sky,-23.1333,150.7333,Villa Mar Colina
281,Viedma,AR,17.77,moderate rain,-40.8135,-62.9967,Hotel Cristal
282,Vredendal,ZA,15.76,overcast clouds,-31.6683,18.5012,Tharrakamma Guest House
283,Svetlogorsk,BY,10.96,overcast clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
289,Valparaiso,CL,15.13,overcast clouds,-33.0393,-71.6273,Hotel Ultramar
291,Port Alfred,ZA,17.32,overcast clouds,-33.5906,26.891,The Halyards Hotel
293,Tornio,FI,8.01,scattered clouds,65.8481,24.1466,Park Hotel Tornio
295,Te Anau,NZ,10.28,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
298,Livingston,GB,14.2,broken clouds,55.9029,-3.5226,Mercure Livingston Hotel
301,Plettenberg Bay,ZA,17.2,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
302,Jerome,US,16.91,clear sky,42.7241,-114.5186,Best Western Sawtooth Inn & Suites
307,Tupiza,BO,18.56,scattered clouds,-21.45,-65.7167,Hotel Mitru
312,Sitka,US,11.94,broken clouds,57.0531,-135.33,Westmark Sitka
317,Elbeuf,FR,19.26,clear sky,49.2867,1.0029,Hôtel Restaurant Campanile Rouen Cléon Elbeuf
318,Videira,BR,11.19,overcast clouds,-27.0083,-51.1517,Hotel das Videiras
322,Kitimat,CA,12.21,light rain,54.0524,-128.6534,Kingfish Westcoast Adventures Ltd. Kitimat Estuary Lodge B&B
324,Pereslavl-Zalesskiy,RU,7.25,overcast clouds,56.7393,38.8563,Motel Navigator
328,Ishinomaki,JP,18.62,overcast clouds,38.4167,141.3,Ishinomaki Grand Hotel
331,Watsa,CD,19.77,light rain,3.0372,29.5355,Hôtel Le Pacifique
333,Southbridge,US,18.92,overcast clouds,42.0751,-72.0334,Southbridge Hotel & Conference Center
337,Kenai,US,5.64,light rain,60.5544,-151.2583,Aspen Extended Stay Suites
